"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"91",132232,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Cola sppGA1",12.30000019,1,1,75.9896306440035
"92",132231,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Cola sppGA1",13,1,1,87.5631315129379
"93",132292,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",10.39999962,1,1,69.9095821135367
"94",132291,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",10.69999981,1,1,75.2272196819066
"95",132288,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",12.69999981,1,1,116.825545780238
"96",132287,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",14.19999981,1,1,155.399076117612
"97",132283,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",16.29999924,1,1,220.72038905478
"98",132282,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",16.89999962,1,1,241.912227835183
"99",132284,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",16,1,1,210.552999913469
"100",132281,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",17.29999924,1,1,256.682190311791
"101",132280,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",17.70000076,1,1,271.972049584216
"102",132278,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",21.89999962,1,1,465.146364406674
"103",132277,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",23.39999962,1,1,549.207592975851
"104",132276,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",24.70000076,1,1,628.762641128572
"105",132275,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",25.20000076,1,1,661.04885674117
"106",132273,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",29.79999924,1,1,1003.55612142225
"107",132272,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",30.10000038,1,1,1028.81668536562
"108",132271,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",31,1,1,1106.8009257118
"109",132270,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",32.09999847,1,1,1206.64467749119
"110",132267,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",43.90000153,1,1,2607.18102006893
"111",132266,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",44.29999924,1,1,2665.67336378521
"112",132265,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",44.40000153,1,1,2680.41371976876
"113",132264,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",45.20000076,1,1,2800.0219865751
"114",132263,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",47.70000076,1,1,3193.30727200617
"115",132262,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",47.90000153,1,1,3226.0580777653
"116",132261,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",48.29999924,1,1,3292.13564291534
"117",132259,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",48.40000153,1,1,3308.77582645584
"118",132260,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",48.40000153,1,1,3308.77582645584
"119",132258,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",48.90000153,1,1,3392.6983997771
"120",132257,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",49.40000153,1,1,3477.82992110782
"121",132256,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",50.70000076,1,1,3704.85880182725
"122",132255,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",50.90000153,1,1,3740.51880478233
"123",132254,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",51.09999847,1,1,3776.37412824276
"124",132253,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",54.20000076,1,1,4357.39055515402
"125",132252,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",54.59999847,1,1,4435.84179036425
"126",132251,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",55.40000153,1,1,4595.15391713699
"127",132250,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",56.09999847,1,1,4737.19450437284
"128",132249,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",59.90000153,1,1,5551.76002749366
"129",132248,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",60.5,1,1,5687.15086945312
"130",132247,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",60.90000153,1,1,5778.44731400135
"131",132245,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",61.29999924,1,1,5870.57310697014
"132",132244,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",61.70000076,1,1,5963.53169254228
"133",132246,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",61,1,1,5801.40064334824
"134",132242,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Coula edulis",85.09999847,1,1,12903.3591272452
"135",132243,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Coula edulis",85.09999847,1,1,12903.3591272452
"136",132301,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Crudia sppGA1",10.39999962,1,1,61.3654607962554
"137",132300,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Crudia sppGA1",10.53999996,1,1,63.5182718579073
"138",132299,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Crudia sppGA1",14.69999981,1,1,148.985360807206
"139",132298,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Crudia sppGA1",16.20000076,1,1,190.742091989993
"140",132305,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes buettneri",108,1,1,13609.1502828367
"141",132304,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes buettneri",110.3000031,1,1,14303.8636490215
"142",132315,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes buettneri",12.69999981,1,1,69.9696668507187
"143",132314,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes buettneri",13.69999981,1,1,84.935392341886
"144",132312,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes buettneri",46.5,1,1,1797.26555562736
"145",132311,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes buettneri",48.29999924,1,1,1971.74027841031
"146",132310,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes buettneri",51,1,1,2251.01051321982
"147",132308,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes buettneri",55.09999847,1,1,2716.14272878713
"148",132307,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes buettneri",55.59999847,1,1,2776.30449807328
"149",132306,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes buettneri",57.59999847,1,1,3024.52291235647
"150",132337,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes sppGA1",13.60000038,1,1,91.7479089430994
"151",132336,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes sppGA1",13.69999981,1,1,93.48084121911
"152",132334,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes sppGA1",19.10000038,1,1,217.302053262044
"153",132335,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes sppGA1",19,1,1,214.442526617432
"154",132333,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes sppGA1",20.5,1,1,259.703697143264
"155",132332,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes sppGA1",20.89999962,1,1,272.641427625422
"156",132329,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes sppGA1",23.29999924,1,1,358.165559061971
"157",132328,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes sppGA1",23.39999962,1,1,362.028228319427
"158",132327,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dacryodes sppGA1",26.10000038,1,1,475.641129438812
"159",132326,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dacryodes sppGA1",27,1,1,517.586346851214
"160",132345,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dactyladenia sppGA1",11.60000038,1,1,65.2181176325191
"161",132344,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dactyladenia sppGA1",11.69999981,1,1,66.6721132824038
"162",132343,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dactyladenia sppGA1",12.80000019,1,1,83.9481122268887
"163",132342,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dactyladenia sppGA1",13.10000038,1,1,89.07546429288
"164",132341,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dactyladenia sppGA1",16.10000038,1,1,150.655134598635
"165",132340,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dactyladenia sppGA1",16.39999962,1,1,157.882630090564
"166",132339,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dactyladenia sppGA1",22.79999924,1,1,362.427526440638
"167",132338,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dactyladenia sppGA1",23.10000038,1,1,374.498281310182
"168",132354,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dialium dinklagei",10.5,1,1,55.8939893923681
"169",132353,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dialium dinklagei",10.80000019,1,1,60.1026727831202
"170",132367,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dialium pachyphyllum",18.5,1,1,312.827892945149
"171",132366,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dialium pachyphyllum",20.10000038,1,1,385.63008947847
"172",132365,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dialium pachyphyllum",20.70000076,1,1,415.265496992929
"173",132364,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dialium pachyphyllum",20.79999924,1,1,420.330452956408
"174",132361,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dialium pachyphyllum",29.29999924,1,1,989.780086982503
"175",132360,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dialium pachyphyllum",29.60000038,1,1,1015.13829468906
"176",132359,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dialium pachyphyllum",38.5,1,1,1943.60479986659
"177",132358,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dialium pachyphyllum",41,1,1,2268.3311399029
"178",132357,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dialium pachyphyllum",82.5,1,1,12324.8153128128
"179",132356,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dialium pachyphyllum",83.40000153,1,1,12648.3124761219
"180",132407,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",10.19999981,1,1,46.8306049708287
"181",132405,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",10.30000019,1,1,48.0246009401279
"182",132406,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",10.30000019,1,1,48.0246009401279
"183",132404,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",10.39999962,1,1,49.2366233448824
"184",132403,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",10.60000038,1,1,51.715142357852
"185",132402,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",10.69999981,1,1,52.9817825937707
"186",132408,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",10,1,1,44.4963972764842
"187",132409,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",10,1,1,44.4963972764842
"188",132401,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",11.30000019,1,1,60.9703470903157
"189",132400,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",11.39999962,1,1,62.3672992410762
"190",132399,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",11.5,1,1,63.78320098349
"191",132398,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",11.69999981,1,1,66.6721132824038
"192",132397,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",11.89999962,1,1,69.6377060107219
"193",132395,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",12.5,1,1,79.0006871493356
"194",132394,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",12.89999962,1,1,85.6371306906388
"195",132393,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",13.10000038,1,1,89.07546429288
"196",132391,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",13.60000038,1,1,98.0261233668076
"197",132392,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",13.60000038,1,1,98.0261233668076
"198",132390,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",14.5,1,1,115.438097284893
"199",132389,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",14.60000038,1,1,117.477701455286
"200",132388,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",14.89999962,1,1,123.724112559181
"201",132386,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",15.39999962,1,1,134.564158506337
"202",132387,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",15,1,1,125.849025249714
"203",132384,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",16.39999962,1,1,157.882630090564
"204",132385,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",16.39999962,1,1,157.882630090564
"205",132382,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",17,1,1,172.942851532117
"206",132381,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",18.39999962,1,1,211.283819560053
"207",132380,"GAB-RIV11",-0.079111,12.334306,2001,"PLT_00000001","Dichostemma glaucescens",20.79999924,1,1,287.805154536549
"208",132379,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Dichostemma glaucescens",21,1,1,294.815635057632
"209",132468,"GAB-RIV11",-0.079111,12.334306,2004,"PLT_00000001","Diogoa zenkeri",10,1,1,50.11093845919
